term,score
推薦,0.17578975324616747
訂位,0.09701430085305865
比登,0.09273116744106312
香芹,0.09110325228233754
再訪,0.0896607533434524
台菜,0.088308409907315
甜點,0.0849886781474432
牛肉,0.08072330334948623
大家,0.08053768631436432
金賞,0.07629768798401888
米粉,0.06901503556432936
金沙,0.06743214368098491
連續,0.06587124033063273
用餐,0.06512287930403818
包廂,0.06233970899089694
只有,0.06055335092831923
清蒸,0.05741825434802258
搭配,0.057045669508788074
回家,0.05670340578058422
不大,0.056253414843579055
米其林,0.05410225754222417
驚艷,0.05156662533011126
家人,0.04828987953366552
預訂,0.04797386795373104
招牌,0.04655940295970605
三明治,0.04531283434878535
龍蝦,0.04531283434878535
一定,0.043460725528004535
份量,0.04288458234912804
軟殼,0.04182366460258745
