term,score
米其林,0.15848252254903797
客樓,0.12877164522288026
川菜,0.12423669735236952
雞湯,0.11826417142270762
高級,0.10891543038649336
喜來,0.09454365375189751
服務人員,0.09299106753957612
不錯,0.08783814341610259
特別,0.085682877670943
口感,0.08534969803415686
第一次,0.08262731339864354
不會,0.08063049208993678
印象,0.07647483897895715
豆腐,0.07290470771632979
麻油,0.07099776954979692
小菜,0.06913516128059233
整體,0.06871891714099793
砂鍋,0.06759917467789105
濃郁,0.06535047588330647
一品,0.05955309552157048
驚艷,0.05818121751315264
搭配,0.053224560412085974
包廂,0.05079143445785722
一道,0.04112008328638724
白菜,0.03251343650898109
