term,score
座位,0.11828664009444644
乾淨,0.10980864326408106
小菜,0.0840995308266319
軟嫩,0.06195051000211363
辣油,0.06033319355471477
位子,0.06019140814023982
用餐,0.059523971734278265
只有,0.058382867343755945
桌上,0.05342183866536107
雖然,0.053138150319001834
吧台,0.05085322947217222
份量,0.050754375250281425
店內,0.049678557133066056
裡面,0.048507150172435745
大碗,0.04673571429092677
需要,0.044154664559051156
我點,0.042573768159346
一樣,0.040621994396254864
辣椒,0.03684506056497208
蘭州,0.03204825078135193
這個,0.024705933734818584
辣子,0.01940392531611007
建議,0.01806235614672107
不會,0.01416188443158961
牛腱,0.008787896122662897
台灣,0.005970175355832018
清燉,0.00223983510657233
口感,0.0019147066321265546
