term,score
用心,0.16728896667605106
親切,0.12181182699834699
日式,0.11805479950804397
燈燈,0.1081461729741327
懷石,0.09883116280929427
感受,0.08809861121222398
令人,0.08362344410698433
味覺,0.07993760298492415
口感,0.07489105474418373
驚喜,0.0650767874049246
體驗,0.06433465513247649
享受,0.05929769104015485
視覺,0.05929769104015485
驚艷,0.05260023797066546
湯品,0.050914348297622224
酥脆,0.04216059414105597
一道,0.03634449052647554
層次,0.03546925189126024
入口,0.03546925189126024
一次,0.030631053678197566
期待,0.014351489489275247
食材,0.011451883491740658
豆腐,0.008651017744271405
