term,score
不會,0.2157839525006005
漢堡,0.14423934941482705
搭配,0.14394569340083777
蛋堡,0.14177065404706884
魚排,0.14177065404706884
親切,0.13839043951598548
荷蘭,0.13493075844788036
義大利麵,0.12238199555363104
口感,0.12189147215866725
適合,0.11568872032865993
整體,0.0990690701537359
調味,0.0767542135499677
份量,0.07029122670664673
夏卡,0.06478164561026739
蘇卡,0.06478164561026739
帕達諾燉,0.05974989735412721
植物,0.05374404048962738
起司,0.05355449072537846
選擇,0.03246592448961605
香酥,0.028284917743910773
松露,0.02251767025555171
蔬菜,0.02192363294983797
薄餅,0.021240173619259867
蔬食,0.01850634936589543
