term,score
舒服,0.13234284901641852
司康,0.12918473694512678
整體,0.11390970892540182
不錯,0.10945496382747054
適合,0.10549820524062402
享受,0.10495497938962886
茶香,0.09933563496787631
紅茶,0.09760411284682498
還有,0.09396164162084798
座位,0.09060653708722013
三明治,0.0873020341299715
大稻,0.08073316690096355
各式,0.07499584218200817
一下,0.07388197585158496
特別,0.07361773375710742
喜歡,0.06875829709344386
推薦,0.06735405824098639
口感,0.06660388783380364
茶葉,0.06490510062763621
咖啡,0.06283862097672813
起來,0.06044996268683763
裝潢,0.05575194247377446
喝茶,0.054560843870257454
只有,0.05292376234809602
