term,score
明太子,0.13006045988375284
水準,0.09361411197380722
推薦,0.09262869281305111
喜歡,0.09199465723402087
炸雞,0.08886434345994178
豆腐,0.08717587680326036
整體,0.08604766093165407
甜點,0.08493143766202496
之上,0.08445502398370354
烏龍,0.07981439567881227
份量,0.0765794176974054
揚出,0.07385997722612228
日式,0.07087256980011758
直接,0.07046348249150841
清酒,0.06776782126106365
聚餐,0.0673639017298226
雞肉,0.06656627699000267
炸物,0.06451501093349417
新鮮,0.060035545784453775
使用,0.056607743747328194
南蠻,0.056478532483081184
滿足,0.055013043736882435
串燒,0.05444398768338341
酒精,0.052820695468678014
軟骨,0.05259494045347575
五花,0.04735339593617932
調味,0.046013561479692926
特別,0.045364087072348375
居酒,0.045162653236148285
小酌,0.04312384295441519
