term,score
用餐,0.17418119565078669
蛋糕,0.12895624388441013
舒服,0.10975232044867314
推薦,0.10484517933182344
份量,0.1012592395065559
五花,0.0992676247071889
一點,0.09721864102433586
奶茶,0.0965164006170905
體驗,0.09651504455103123
整體,0.0851358711838483
泡茶,0.08488872297018742
好喝,0.08361763160791352
水餃,0.07851477028765047
親切,0.07241143241089665
建議,0.06673411559607173
雖然,0.06344133495473646
口感,0.061048006101550076
飲品,0.061048006101550076
風味,0.05862517600088672
還是,0.05731761785142481
服務人員,0.0505032708373617
態度,0.0505032708373617
鳳茶,0.04906567695353927
