term,score
蔬菜,0.07580440500765122
內用,0.06331901196749036
cp,0.06194909876771872
點了,0.05450955360197293
超大,0.053417285912490106
很棒,0.05335800120756487
烏龍,0.05325219118759647
唐揚,0.05284504877375395
中午,0.046082535508922606
看到,0.04046736424966332
公館,0.03990043657217536
尚可,0.03924038670529496
海帶,0.038533028544338044
豆腐,0.035832273075908645
日式,0.034947178842896026
35,0.026555545791263627
等等,0.026139266108102695
自助,0.025189350669600607
豬排,0.02411956355104316
大碗,0.021284616638269763
咖哩,0.008789454872901302
