term,score
蔬菜,0.1792582749387064
毛毛,0.13600138027403558
健康,0.12539362961200168
超級,0.11813590819662367
清爽,0.10612951739657377
口感,0.09856402921693447
還是,0.09850596201684754
胸肉,0.09695313119233459
整體,0.08932479912411823
不錯,0.08397181067330194
飽足感,0.08252036945047227
喜歡,0.07893239472439521
店家,0.0772126828194179
蠶寶寶,0.07477188629850937
海苔,0.0681340904559145
舒服,0.06504748596642115
今天,0.0625941582062908
豆皮,0.06073292767737997
適合,0.0591976512272699
軟嫩,0.054513683048998736
cp,0.05424434680274588
紫米,0.0489880051156616
調味,0.04723203576657558
生菜,0.04497777623811983
