term,score
魚刺,0.34020690871988585
水餃,0.2721655269759087
喉嚨,0.2041241452319315
沒有,0.2041241452319315
這樣,0.2041241452319315
不是,0.13608276348795434
經理,0.13608276348795434
只是,0.13608276348795434
甚至,0.13608276348795434
竟然,0.13608276348795434
魚水,0.13608276348795434
一根,0.13608276348795434
飯店,0.13608276348795434
態度,0.13608276348795434
始終,0.06804138174397717
反應,0.06804138174397717
反映,0.06804138174397717
店主,0.06804138174397717
口腔,0.06804138174397717
只口頭,0.06804138174397717
吃水,0.06804138174397717
君悅雲錦,0.06804138174397717
告知,0.06804138174397717
差點,0.06804138174397717
基本,0.06804138174397717
咀嚼,0.06804138174397717
咬了一口,0.06804138174397717
品嚐,0.06804138174397717
問題,0.06804138174397717
將我,0.06804138174397717
