term,score
用餐,0.2149622832815997
不錯,0.14118614579473326
大利,0.13596561138518692
pizza,0.10988579908911766
氣氛,0.1080487860650701
喜歡,0.10694751116462359
地方,0.10542836990730832
服務人員,0.10056291960565636
銀絲,0.09574095059772772
適合,0.09034111686432578
沙拉,0.08517244745946297
普通,0.08457035014262945
驚艷,0.08288144130877997
提拉,0.07739688101535433
聚會,0.07378622552196051
口感,0.07298237605968293
披薩,0.07198203210441385
平日,0.07111699301768626
偏暗,0.0696435218509198
手工,0.06205564331264768
氛圍,0.06105158939764664
整體,0.05750484510496257
距離,0.0547077032154768
奶油,0.04728741047486645
