term,score
聚餐,0.11049232881171195
推薦,0.10511236573349989
軟嫩,0.099173455936675
臭豆腐,0.07644149836008218
水餃,0.07338387468925932
羊排,0.06885497104192832
清蒸,0.06755538720152478
份量,0.06706561911945917
口感,0.06666549852097427
孜然,0.062443686623316494
咖喱,0.05921395154973744
美味,0.05752199005446501
脆皮,0.05518396347228454
新鮮,0.05432299422644806
紅燒,0.05203969381726506
溫體,0.05176362009844844
招牌,0.05154430795950968
肉湯,0.051476829939858214
值得,0.050306866653216445
雖然,0.04925918616852284
用餐,0.04859143798855446
肉燥,0.04644125052248328
濃郁,0.0463914653615876
咖喱飯,0.04421397620750041
入口,0.04399867952935467
牛肉,0.041685316642440906
搭配,0.04076027421787313
不同,0.04044977888829514
穆斯林,0.039582773219603976
友善,0.039582773219603976
