term,score
豆包,0.17782536020672163
很多,0.10548213971364846
口感,0.10203938368229809
優格,0.1002596869541771
不錯,0.09503656421832396
素食,0.09119108046335152
清爽,0.09110410359367559
調味,0.08518218075777939
豆芽菜,0.08433473738876641
甜不辣,0.08245163853043713
其他,0.07512629211667674
油豆腐,0.07392220194743725
不會,0.0739107705953659
筍子,0.07313886093645748
還有,0.07132992416223358
可惜,0.06852543514121323
乾拌,0.0677036888867267
豆菜,0.0673044389290969
店家,0.06393435932806843
什麼,0.06341916073105469
喜歡,0.0631165629813028
特別,0.06161920515002256
湯頭,0.05903551485255782
裡面,0.058307244877578934
素肉圓,0.05748766212117151
小吃,0.05689449584821755
雖然,0.05522277698102543
豆皮,0.049494570058695876
青菜,0.048408870097457445
肉圓,0.045936435395451766
