term,score
吐司,0.09391390735848666
飲料,0.07642164553292716
不錯,0.0757608001376797
先生,0.0700942120267925
椰漿,0.06889524394613397
整體,0.06460849567016165
沙爹,0.06432535406741921
咖椰,0.06291706355401355
肉骨,0.05965167317731321
用餐,0.05923640653451473
雞肉,0.054814702839194596
不會,0.05441005388829265
很多,0.0519660475082296
還有,0.04925685556470654
平日,0.0474186062729196
好喝,0.0469834076178362
海鮮,0.04636085434865245
西亞,0.046332526273997574
40,0.0454186068769397
一點,0.04454717665139091
偏甜,0.04406951772187774
下次,0.04130657427097002
湯頭,0.04043597134224288
不用,0.04018822590062703
咖哩,0.03834200835964689
公館,0.03833284714273383
門口,0.03798245514371046
風味,0.0368062985318208
上菜,0.03558517404833654
海南,0.03551687245084748
