term,score
午餐,0.13028829366002542
西瓜,0.11806286680116325
優格,0.09300989050541905
整體,0.09137091387712551
小店,0.08631552995856624
冰淇淋,0.08004785909642588
口感,0.07573934111803593
份量,0.07292258763538641
豐富,0.06774427701157017
溫馨,0.06750608004415964
喜歡,0.06661220403058936
甜點,0.06554911008757759
地瓜,0.0635307106578195
布丁,0.06332993881559357
焦糖,0.06241992841974156
用心,0.06001684819229993
造型,0.058120429317015984
一直,0.05752423348464333
新鮮,0.05731882423720215
食材,0.05687398049970958
不會,0.05648142389383954
調味,0.05510689563188311
聖代,0.05507900029871888
看到,0.05480881953505892
脆脆,0.0540565920616336
店內,0.05394663220559996
這是,0.053667631938248875
東西,0.0517553086875466
座位,0.051583052361610135
巧思,0.05123682604166656
