term,score
義式,0.13695208566867326
大利,0.13262184400999733
美味,0.10242892133865512
起司,0.0881955523516697
火腿,0.08579862342177165
推薦,0.08126804017417025
沙拉,0.08028218955051955
疙瘩,0.07523241451008378
搭配,0.07454272501950357
口感,0.07087673488375826
花果,0.0677155342256994
食材,0.06613734429004164
一道,0.06544346460269462
披薩,0.06440669639177035
感受,0.060821793890280806
一口,0.05789820399904249
下次,0.057476013179983715
濃郁,0.057018695616523826
雖然,0.0569228745071392
套餐,0.056154730989409325
章魚,0.055757682301940406
番茄,0.051974337030888065
布拉,0.04953673745336838
用心,0.049443351394164475
卡諾里,0.0492183324973312
手工,0.048743599892681885
前菜,0.04841006215403963
酥脆,0.04762956553032396
一般,0.04538414420176195
西西里,0.0451680182842074
