term,score
老燒,0.14535320378722336
每道菜,0.08993764173856858
第一次,0.07639415527287101
東坡,0.07439890825738955
臭豆腐,0.07270878969764141
建議,0.07215137508155203
香氣,0.07144844147858771
成都,0.07083822041029048
聚餐,0.06949413798003067
好喝,0.06929587292917982
麻辣,0.06802101037566674
推薦,0.06400713437799528
訂位,0.0622639502390135
用餐,0.06189537383682567
白飯,0.06124362053878454
期待,0.05790793420014957
搭配,0.052628047491068114
十足,0.05254979631707358
家人,0.04703582933821783
口感,0.04700468446297889
尤其,0.04658057373372599
必點,0.04632513150078249
花椒,0.045418356701911154
酥脆,0.039742796701494526
小菜,0.03743573677392686
一道,0.034972540490432254
入味,0.029965127891202856
下次,0.02606439868632998
