term,score
生魚片,0.21830978302790238
市場,0.130236791969569
新鮮,0.10593919835898147
鮭魚,0.09986439782694645
座位,0.09425766874832954
cp,0.09241671625790965
300,0.082629758489974
城市,0.07919378797190407
一碗,0.07895473301431
划算,0.07529571858466402
豆腐,0.07277263274627618
10,0.07122438291178346
日料,0.07027880446764274
值得,0.06845120833072306
乾淨,0.06815886276479988
食材,0.06751263144247485
用餐,0.06568609756197832
用料,0.06533723150099427
魚肉,0.06475608640788444
市場裡,0.06450392101782107
增湯,0.06347344763873204
親切,0.06300555796562128
份量,0.0615784677715601
不會,0.05988829810659513
點餐,0.05813776966433197
搭配,0.055440730391088974
比目,0.046250375495633274
