term,score
午餐,0.1665273246680796
大利,0.11893401524837643
還有,0.11600981529612159
帕里尼,0.10888645312324435
套餐,0.10718249752467392
南瓜,0.10546174507327555
用餐,0.09406703041977996
店家,0.08271956075191808
沙拉,0.08268042603899796
份量,0.08043777291685657
時間,0.07737041303458814
推薦,0.07627941787590939
點餐,0.07183471634346067
訂位,0.0717321272221544
濃湯,0.07077052669488632
明太子,0.0674436718893968
不過,0.0654949286108863
店員,0.058999478027631155
還是,0.057425543446992834
吐司,0.05726223439889773
豐盛,0.05715569161524214
雞肉,0.05711564964182331
台北,0.056723230364361193
薯條,0.05554062953080011
只有,0.054893842158350324
好喝,0.05122465388249082
cp,0.050837961554516115
莎莎雞,0.04902117473340029
起司,0.04790025446142489
氣氛,0.04749243727212696
