term,score
直接,0.16083190025287844
居然,0.14490439176876255
體驗,0.13928443847416613
結果,0.13587221978297193
知道,0.13564113458968688
101,0.12889998903110061
流程,0.09850087950683896
用餐,0.09487774700321723
甜點,0.08564524107230356
水果,0.0820014988515631
完全,0.0749612950808192
一次,0.06414433540197509
一份,0.06145691296579955
實在,0.05018740639528011
shabu,0.04586920147473048
桌邊,0.04456319561872603
食令,0.03626769571774642
漂亮,0.027548872611861383
東西,0.014850169084879336
點了,0.010769735977696648
值得,0.007126740277033319
煮粥,0.004979644267217517
幾乎,0.002429031387382055
