term,score
食材,0.1359112149995395
用餐,0.13431740454129557
新鮮,0.12583391376044703
玉米,0.12227096724653899
桌邊,0.10564578678392768
服務人員,0.10297495640523052
海鮮,0.10195920489430654
套餐,0.09274950601239434
幫忙,0.08993946431170731
一次,0.0848950645637069
愛馬仕,0.07995875503894986
氛圍,0.07814387520343372
沒有,0.0754758496570232
鮮蝦,0.07348624362796627
煮粥,0.0732305801249053
不吃,0.0728521904964416
火鍋,0.06617248334155668
第一次,0.06525440160703361
口感,0.06417722644906726
101,0.06386374744003828
氣氛,0.06381491511594592
很棒,0.06361852935239605
shabu,0.06344405817421955
牛小排,0.06176595051747458
過程,0.06169132542610339
貼心,0.06149493966255352
火鍋界,0.06117579536320428
全程,0.05796185779321198
食令,0.055058216295511005
份量,0.05473684659049959
