term,score
壽司,0.1340361989805717
師傅,0.1033894457360949
食材,0.08427604102044155
鰻魚,0.08268554196393421
tommy,0.07089118503107099
魚料,0.0703903677062268
新鮮,0.0660614123696134
搭配,0.06370425077273012
10,0.061469905972179065
酸度,0.06019632435462908
下次,0.05951596085461497
尤其,0.056568123705166416
除了,0.05510816744073231
座位,0.05390381829439553
竹莢,0.051439733335337426
另外,0.04729977198371753
地方,0.04459498978357207
軟嫩,0.04315212208142839
最喜歡,0.042510187971412546
美食,0.042510187971412546
份量,0.04151766092363077
入口,0.04151766092363077
適合,0.0412059392006717
鮑魚,0.04080237652740478
白子,0.040070534905836806
聊天,0.03654696370095983
xd,0.031752494221922424
油脂,0.014430861516360222
