term,score
雞腿,0.08592808114667314
江南,0.07838429260812056
好評,0.060045568995540685
份量,0.057546958202363066
另外,0.04988566306810499
用餐,0.04924161412103267
公館,0.047554849198228125
韓式,0.04746318270546662
10,0.041415775421923935
30,0.03954521534136201
調味,0.038697829328810704
點了,0.03576885179252474
炒泡,0.03540083826549123
店內,0.032823875096088154
尚可,0.028123513039630826
服務費,0.024917686765921793
甜甜的,0.02377295215891719
整體,0.02147551074766036
建議,0.020409019612388512
適合,0.020370896827075505
時間,0.017156783263042354
90,0.01564338472979722
蜂蜜,0.014678822813879576
燒肉,0.013672358059183242
雖然,0.013029673251633473
雞肉,0.012668111384498696
只有,0.012634422297309211
現場,0.012258339512044358
現在,0.010639585460275689
醃蘿,0.010155129875596428
