term,score
起司,0.07066730966181536
微辣,0.058749149612907586
推薦,0.048586081766600606
內用,0.04794095366698875
半半炸,0.04779626289841946
煎餅,0.03993681570098195
不會,0.03861590513038333
搭配,0.03695404980439534
海鮮,0.03654833718572009
親切,0.03584252252975144
冬粉,0.03507386479094521
特別,0.03505894658879217
拼盤,0.034912363129338146
裡面,0.03468087086793607
地瓜,0.03363454624238544
一樣,0.033350779848994254
多汁,0.033110740085287055
除了,0.03277672376947602
舒適,0.03242368561382109
甘醬,0.032078657296703866
辣味,0.031364878874974425
乾淨,0.031191358091669584
現炸,0.03060027983884137
一次,0.03038616827889404
炸物,0.02908924136039774
喜歡,0.02907414299698429
熱熱,0.02837651467086665
20,0.028362209218065516
大概,0.02774220013947042
88,0.027715689190427543
