term,score
喜歡,0.10601244013259312
層次,0.09313303401809081
處理,0.07585200709674793
搭配,0.07303606657282256
de,0.06944589241281995
nuit,0.06944589241281995
牛肝菌,0.06611258920377977
意外,0.062044333333405755
擺盤,0.061867814866706394
驚喜,0.06180191069563762
特別,0.06164476342832377
細膩,0.05732926835448146
品嚐,0.056513386644955074
氣氛,0.05578109577797105
看到,0.05475802979778645
用心,0.05105843385834397
選擇,0.0510270691163342
表現,0.050431434530986814
米其林,0.049823887312846066
甜品,0.04942087744377681
驚艷,0.04611075439866733
龍蝦,0.04480534283364304
認為,0.04409742693947506
旁邊,0.04358959946678476
風味,0.043189351241183796
創意,0.04178295367785893
人覺,0.04047340860630198
奶油,0.03731169265949008
貼心,0.03692629357606603
甜點,0.03675356793671988
