term,score
用餐,0.1546208277625176
創意,0.10974242471908119
套餐,0.09889518936667084
松露,0.09678983098264693
朋友,0.09204915778944951
美味,0.090472773173506
主廚,0.08339466641010265
gubami,0.07943635201473395
牛肉,0.07560095808365899
這次,0.07078047449913372
氛圍,0.07071389719154142
一道,0.06983518879983613
推薦,0.06963224672128512
小卷,0.06707311971447127
創新,0.06580926990977336
口感,0.06490799076296452
搭配,0.06334366383624868
巧思,0.060371145113675154
臭豆腐,0.059289503340852354
蝦多士,0.059289503340852354
social,0.05862819769745662
味覺,0.057184344749920714
米粉,0.056696209647232786
絕佳,0.05536767005374849
詮釋,0.0550430558402776
文化,0.054914605828428775
品嚐,0.05482035199049087
特別,0.05479155898299326
時候,0.054190683392509285
整體,0.05198504985340101
