term,score
甜點,0.12707272992472474
咖啡,0.11672949479224902
奶油,0.10247317648254999
草莓,0.10153196769087011
蛋糕,0.0969956147002463
passer,0.09165957742600335
巴斯克,0.0912674520074253
布丁,0.08177666715102375
戚風,0.08077035429467944
沙拉,0.07811110362574471
喜歡,0.07591377369518669
下午,0.0739380296037029
不會,0.07162221403129887
二樓,0.06901070957019713
聊天,0.0673875949791748
搭配,0.0669636090048093
平日,0.06314377232390754
值得,0.0575631310087778
提拉,0.05545404972164172
店內,0.05362380880175902
葡萄,0.0523490675650432
店裡,0.05112167580925495
180,0.05018173612510315
上面,0.04797131662026319
旁邊,0.04684082943125575
飲品,0.046673211204496134
份量,0.0466467980731855
芒果,0.04652452099127219
用心,0.04607838483869525
和平,0.044575742555372305
