term,score
起司,0.1791019061103399
用餐,0.10285890538096709
口感,0.09513756113655558
雖然,0.09148762869036595
搭配,0.08769292206519165
奶酪,0.07389211901912118
500,0.07155243273244044
不同,0.06981333550837954
喜歡,0.06969406070208567
章魚,0.06895942281022968
必點,0.067135398495513
濃郁,0.06438923917349651
推薦,0.06078448350262637
這道,0.060011345791597746
很特別,0.054465490184574486
一定,0.052907612000253255
拿坡,0.048026333264571945
培根,0.045890363174082405
白酒,0.045873088419259904
完全,0.0441218994384215
提拉,0.021228905443924875
耳朵,0.01794058583125417
