term,score
用餐,0.016391328712494768
不錯,0.016318143133072668
推薦,0.015791176242103806
份量,0.01455550398810877
親切,0.014474193373260596
喜歡,0.013617111829518252
美味,0.013290764420685858
牛肉,0.013136257884676145
還有,0.012040731187830226
很多,0.011481962213045305
不會,0.011158908765382614
口感,0.010820842667558964
好喝,0.010804202040177213
整體,0.010799892863154057
新鮮,0.010717026567427998
搭配,0.010099344529711974
值得,0.009621917793690631
店家,0.009312198957839742
朋友,0.009253774807939272
很棒,0.008984595850094918
超級,0.008978070745586118
適合,0.008907538235051481
食材,0.008898211375496286
套餐,0.008895927978799015
特別,0.008865268985135746
起來,0.008824694379429447
沒有,0.0088223839201539
選擇,0.00871794074800663
下次,0.008631422867725565
湯頭,0.00843170044331033
